nconst,primaryName,knownForTitles
nm0000724,Brooke Adams,"tt0077405,tt0103157,tt0085407,tt0077745"
nm0000725,Joey Lauren Adams,"tt2996684,tt0106677,tt0118842,tt0142342"
nm0000726,Maud Adams,"tt0086034,tt0071807,tt0073631,tt0083178"
nm0000727,Percy Adlon,"tt0095801,tt0108636,tt0090377,tt0082225"
nm0000728,Mario Adorf,"tt0078875,tt0112154,tt0103432,tt0067315"
nm0000729,Casey Affleck,"tt4034228,tt0240772,tt0452623,tt0443680"
nm0000730,John Agar,"tt0066831,tt0049516,tt0040369,tt0041841"
nm0000731,Brian Aherne,"tt0057547,tt0045897,tt0036203,tt0030442"
nm0000732,Danny Aiello,"tt0093565,tt0097216,tt0102070,tt0110413"
nm0000733,Anouk Aimée,"tt0055093,tt0061138,tt0053779,tt0056801"
nm0000734,Eddie Albert,"tt0071771,tt0068687,tt0058808,tt0046250"
nm0000735,Brian Aldiss,"tt1590816,tt0432260,tt0099612,tt0212720"
nm0000736,Robert Aldrich,"tt0071771,tt0056687,tt0070030,tt0061578"
nm0000737,Jane Alexander,"tt0124315,tt0079417,tt0074119,tt0298130"
nm0000738,Muhammad Ali,"tt0076111,tt0077003,tt0118147,tt0056406"
nm0000739,Debbie Allen,"tt0080716,tt0118607,tt0083412,tt0413573"
nm0000740,Irwin Allen,"tt0069113,tt0072308,tt0057798,tt0044009"
nm0000741,Tim Allen,"tt0101120,tt0111070,tt0177789,tt0114709"
nm0000742,June Allyson,"tt0041928,tt0040876,tt0046963,tt0049578"
nm0000743,Néstor Almendros,"tt0077405,tt0084707,tt0080453,tt0079417"
nm0000744,Maria Conchita Alonso,"tt0100403,tt1186370,tt0093894,tt0092997"
nm0000745,Carol Alt,"tt0112829,tt0119951,tt0161942,tt1859650"
nm0000746,Trini Alvarado,"tt0103747,tt0116365,tt0110367,tt0100691"
nm0000747,Don Ameche,"tt0088933,tt0107131,tt0035979,tt0086465"
nm0000748,Leon Ames,"tt0037059,tt0091738,tt0066473,tt0043880"
nm0000749,Mädchen Amick,"tt0098936,tt0105665,tt0109665,tt5420376"
nm0000750,Jon Amiel,"tt0100822,tt0298814,tt0137494,tt0112722"
nm0000751,Suzy Amis,"tt0106350,tt0114814,tt0109303,tt0120338"
nm0000752,Judith Anderson,"tt0088170,tt0037008,tt0051459,tt0032976"
nm0000753,Juliet Anderson,"tt0183031,tt0082069,tt0265023,tt0082707"
nm0000754,Kevin Anderson,"tt0413895,tt0093683,tt0118411,tt0102945"
nm0000755,Lindsay Anderson,"tt0083694,tt0057578,tt0063850,tt0070464"
nm0000756,Loni Anderson,"tt0077097,tt0086379,tt0120770,tt0118539"
nm0000757,Melissa Sue Anderson,"tt0202179,tt0463850,tt0082498,tt0071007"
nm0000758,Melody Anderson,"tt0080745,tt0098369,tt0091055,tt0082242"
nm0000759,Paul Thomas Anderson,"tt0469494,tt1791528,tt0272338,tt0118749"
nm0000760,Richard Dean Anderson,"tt0088559,tt0929629,tt0374455,tt0118480"
nm0000761,Bibi Andersson,"tt0050976,tt0060827,tt0837106,tt0050986"
nm0000762,Anthony Andrews,"tt0083390,tt1504320,tt0088322,tt0084637"
nm0000763,Dana Andrews,"tt0037691,tt0050766,tt0036868,tt0037008"
nm0000764,André René Roussimoff,"tt0261495,tt0071054,tt0250824,tt0093779"
nm0000765,Pier Angeli,"tt0056504,tt0058947,tt0049778,tt0044112"
nm0000766,Theodoros Angelopoulos,"tt0114863,tt0096288,tt0156794,tt0081148"
nm0000767,Jean-Hugues Anglade,"tt0100263,tt0364045,tt0090563,tt0110963"
nm0000768,Francesca Annis,"tt0077042,tt0087182,tt0085811,tt0375920"
nm0000769,Susan Anspach,"tt0069097,tt0082770,tt0065724,tt0069808"
nm0000770,David Anspaugh,"tt0081873,tt0091217,tt0108002,tt4196848"
nm0000771,Lysette Anthony,"tt0085811,tt0112896,tt0104466,tt0099363"
nm0000772,Susan Anton,"tt0087032,tt0078694,tt0079225,tt0096542"
nm0000773,Laura Antonelli,"tt0082883,tt0070358,tt0071844,tt0074686"
nm0000774,Michelangelo Antonioni,"tt0073580,tt0047821,tt0060176,tt0053619"
nm0000775,Christina Applegate,"tt0092400,tt0101757,tt0253867,tt4651520"
nm0000776,Michael Apted,"tt1734493,tt0143145,tt0157583,tt0384766"
nm0000777,Gregg Araki,"tt0370986,tt2238050,tt1523483,tt0094134"
nm0000778,Alfonso Arau,"tt2380307,tt0114887,tt0103994,tt0092086"
nm0000779,Roscoe 'Fatty' Arbuckle,"tt0007761,tt0007819,tt0012382,tt0009123"
nm0000780,Denys Arcand,"tt0097635,tt7231342,tt0090985,tt0338135"
nm0000781,Eve Arden,"tt0044287,tt0037913,tt0052561,tt0077631"
nm0000782,Asia Argento,"tt0418819,tt0368774,tt0218581,tt0295701"
nm0000783,Dario Argento,"tt0065143,tt0093677,tt0087909,tt0073582"
nm0000784,Pedro Armendáriz,"tt0040369,tt0040064,tt0057076,tt0037981"
nm0000785,Alison Armitage,"tt0105930,tt0115237,tt0116695,tt0180339"
nm0000786,George Armitage,"tt0119229,tt0075393,tt0065760,tt0100143"
nm0000787,Bess Armstrong,"tt0085750,tt0108872,tt0085678,tt0082405"
nm0000788,Gillian Armstrong,"tt0117206,tt0079596,tt0245046,tt0110367"
nm0000789,Desi Arnaz,"tt0047191,tt0041475,tt0043208,tt1243974"
nm0000790,James Arness,"tt0092527,tt0047573,tt0044121,tt0047736"
nm0000791,Jack Arnold,"tt0046876,tt0043138,tt2402723,tt0050539"
nm0000792,Tom Arnold,"tt0111503,tt0242445,tt0117768,tt0119640"
nm0000793,Alexis Arquette,"tt0110912,tt0160862,tt0283003,tt0144120"
nm0000794,Lewis Arquette,"tt0098439,tt0118111,tt0078966,tt0185431"
nm0000795,Jean Arthur,"tt0030993,tt0036172,tt0046303,tt0031679"
nm0000796,Dana Ashbrook,"tt0098936,tt5334704,tt0095990,tt0105665"
nm0000797,Hal Ashby,"tt0061811,tt0067185,tt0077362,tt0078841"
nm0000798,Linden Ashby,"tt0113855,tt0432021,tt0111756,tt1567432"
nm0000799,Edward Asner,"tt0061619,tt0065314,tt1049413,tt0319343"
nm0000800,Armand Assante,"tt0765429,tt0104802,tt0116441,tt0113492"
nm0000801,Olivier Assayas,"tt0401711,tt0216689,tt2452254,tt4714782"
nm0000802,Mary Astor,"tt0035169,tt0033870,tt0033677,tt0034428"
nm0000803,Christopher Atkins,"tt0080453,tt0086011,tt4893122,tt0084504"
nm0000804,Stéphane Audran,"tt0062728,tt0092603,tt0068361,tt0064106"
nm0000805,Claudine Auger,"tt0080718,tt0067656,tt0059800,tt1369743"
nm0000806,Bille August,"tt0119683,tt0107151,tt0093713,tt0257215"
nm0000807,Jane Austen,"tt0114388,tt9214832,tt0116191,tt0414387"
nm0000808,Paul Auster,"tt0125879,tt0479074,tt3350042,tt0114478"
nm0000809,Daniel Auteuil,"tt0387898,tt0243493,tt0091288,tt1473063"
nm0000810,Gene Autry,"tt0032987,tt0034106,tt0027361,tt0042110"
nm0000811,Frankie Avalon,"tt0059726,tt0077631,tt0112641,tt0058953"
nm0000812,Roger Avary,"tt0110265,tt0105236,tt0442933,tt0110912"
nm0000813,Tex Avery,"tt0033260,tt0032243,tt0038702,tt0038595"
nm0000814,John G. Avildsen,"tt0075148,tt0100507,tt0097647,tt0087538"
nm0000815,Mili Avital,"tt0181199,tt0111282,tt0112817,tt0120723"
nm0000816,Jon Avnet,"tt0947798,tt0101921,tt0118055,tt0086200"
nm0000817,Lew Ayres,"tt0020629,tt0030241,tt0069768,tt0040495"
nm0000818,Shabana Azmi,"tt2792284,tt0083578,tt0116308,tt5286444"
nm0000819,Barbara Bach,"tt0076752,tt0080058,tt0077572,tt0064750"
nm0000820,Burt Bacharach,"tt0119738,tt0145660,tt0082031,tt0064115"
nm0000821,Amitabh Bachchan,"tt5571734,tt0337578,tt0375611,tt0213890"
nm0000822,Jim Backus,"tt0057751,tt0057193,tt0057681,tt0048545"
nm0000823,Angelo Badalamenti,"tt0105665,tt0166924,tt0344510,tt0116922"
nm0000824,John Badham,"tt0076666,tt0113972,tt0086567,tt0091949"
nm0000825,Mary Badham,"tt0056592,tt0060626,tt0052520,tt0061089"
nm0000826,Jane Badler,"tt4054004,tt0085106,tt4244730,tt0086822"
nm0000827,Maxine Bahns,"tt0117628,tt6517320,tt0112585,tt8558774"
nm0000828,Barbara Bain,"tt0060009,tt8717656,tt0270197,tt0072564"
nm0000829,Stuart Baird,"tt0381061,tt0078346,tt1074638,tt0253754"
nm0000830,Oksana Baiul,"tt0118186,tt0243458,tt7462076,tt0115101"
nm0000832,Diane Baker,"tt0115798,tt0102926,tt0057426,tt0058329"
nm0000833,Joe Don Baker,"tt0112715,tt0113189,tt0116996,tt0093428"
nm0000834,Kathy Baker,"tt0099487,tt1315216,tt0103512,tt0124315"
nm0000835,Ralph Bakshi,"tt0085542,tt0077869,tt0068612,tt0076929"
nm0000836,Scott Bakula,"tt0244365,tt0096684,tt0169547,tt1291580"
nm0000837,Bob Balaban,"tt0075860,tt0280707,tt0379725,tt0310281"
nm0000838,Daniel Baldwin,"tt0368479,tt1600194,tt0758751,tt1830617"
nm0000839,Ina Balin,"tt0054757,tt0058456,tt0053841,tt0059245"
nm0000840,Lucille Ball,"tt0062570,tt0043208,tt0047191,tt0055686"
nm0000841,Michael Ballhaus,"tt0103874,tt0106226,tt0099685,tt0217505"
nm0000842,Martin Balsam,"tt0050083,tt0054215,tt0074119,tt0059798"
nm0000843,Anne Bancroft,"tt0119223,tt0076843,tt0061722,tt0056241"
nm0000844,Tamasaburô Bandô,"tt0184507,tt0079041,tt0108639,tt0230866"
nm0000845,Tallulah Bankhead,"tt0037017,tt0038040,tt0059106,tt0022814"
nm0000846,Ian Bannen,"tt0112573,tt0093209,tt0166396,tt0059183"
nm0000847,Theda Bara,"tt0005339,tt0007769,tt0005100,tt0009792"
nm0000848,Olivia Barash,"tt0101761,tt0090213,tt0087995,tt0083412"
nm0000849,Javier Bardem,"tt0477348,tt1074638,tt1164999,tt0369702"
nm0000850,Clive Barker,"tt0100260,tt0805570,tt0103919,tt0093177"
nm0000851,Lex Barker,"tt0043025,tt0059915,tt0045220,tt0058751"
nm0000852,Jean-Marc Barr,"tt1692227,tt1462411,tt0095250,tt0178721"
nm0000853,Bruno Barreto,"tt0119815,tt0179170,tt0077452,tt2217458"
nm0000854,Majel Barrett,"tt0111280,tt0070909,tt0117731,tt0253754"
nm0000855,Raymond J. Barry,"tt0139654,tt0305711,tt0106856,tt0841046"
nm0000856,Ethel Barrymore,"tt0039694,tt0041746,tt0038975,tt0037135"
nm0000857,John Drew Barrymore,"tt0055866,tt0059069,tt0055855,tt0134061"
nm0000858,John Barrymore,"tt0022454,tt0022958,tt0025919,tt0023948"
nm0000859,Lionel Barrymore,"tt0040506,tt0030993,tt0021885,tt0038650"
nm0000860,Paul Bartel,"tt0114814,tt0083869,tt0098261,tt0116225"
nm0000861,Freddie Bartholomew,"tt0028691,tt0030368,tt0026266,tt0027893"
nm0000862,Robin Bartlett,"tt0120632,tt0084707,tt2042568,tt1130884"
nm0000863,Billy Barty,"tt0089469,tt0096446,tt0093507,tt0083254"
nm0000864,Mikhail Baryshnikov,"tt0101606,tt0090319,tt0136439,tt0076843"
nm0000865,Richard Basehart,"tt0057798,tt0049513,tt0047528,tt0043560"
nm0000866,Saul Bass,"tt0053125,tt0086162,tt0063804,tt0070531"
nm0000867,Jason Bateman,"tt0367279,tt2704998,tt2948356,tt2170299"
nm0000868,Justine Bateman,"tt6662050,tt6852672,tt0367279,tt0083413"
nm0000869,Alan Bates,"tt0265349,tt0280707,tt0066579,tt0164184"
nm0000870,Kathy Bates,"tt0257360,tt0120338,tt0109642,tt0100157"
nm0000871,Randall Batinkoff,"tt0103893,tt2357144,tt0119874,tt0119822"
nm0000872,Patrick Bauchau,"tt0258000,tt0115320,tt0319969,tt0090264"
nm0000873,Belinda Bauer,"tt0100502,tt0098546,tt0090066,tt0085549"
nm0000874,Steven Bauer,"tt0181865,tt0117381,tt1769323,tt0086250"
nm0000875,L. Frank Baum,"tt0004207,tt0089908,tt0000679,tt0032138"
nm0000876,Noah Baumbach,"tt7653254,tt0367089,tt2347569,tt2872462"
nm0000877,Lamberto Bava,"tt0090930,tt0088100,tt0101493,tt0089013"
nm0000878,Mario Bava,"tt0068863,tt0059792,tt0055022,tt0067656"
nm0000879,Anne Baxter,"tt0049833,tt0038873,tt0035015,tt0042192"
nm0000880,Meredith Baxter,"tt0073992,tt0105833,tt0083413,tt0074119"
nm0000881,Michael Bay,"tt1055369,tt0418279,tt2109248,tt0120591"
nm0000882,Nathalie Baye,"tt0264464,tt1650048,tt0204709,tt0174330"
nm0000883,Stephanie Beacham,"tt0096698,tt0452643,tt0088496,tt0081856"
nm0000884,Jennifer Beals,"tt1037705,tt0113101,tt0088851,tt0085549"
nm0000885,Ned Beatty,"tt0074958,tt0078346,tt0822854,tt0068473"
nm0000886,Warren Beatty,"tt0118798,tt0077663,tt0082979,tt0061418"
nm0000887,Harold Becker,"tt0098273,tt0249478,tt0120749,tt0107497"
nm0000888,Meret Becker,"tt0128133,tt0111183,tt0111613,tt0408306"
nm0000889,Bonnie Bedelia,"tt0099423,tt0085656,tt0095016,tt0100404"
nm0000890,Noah Beery Jr.,"tt0031762,tt0071042,tt0070895,tt0040724"
nm0000891,Wallace Beery,"tt0023948,tt0040271,tt0025948,tt0022958"
nm0000892,Jason Beghe,"tt0095652,tt0103074,tt0119173,tt1458175"
nm0000893,Ed Begley Jr.,"tt0910936,tt0310281,tt1178663,tt1289401"
nm0000894,Jean-Jacques Beineix,"tt0104473,tt0098226,tt0082269,tt0090563"
nm0000895,Barbara Bel Geddes,"tt0042832,tt0052357,tt0040221,tt0077000"
nm0000896,Harry Belafonte,"tt0308055,tt0116745,tt7349662,tt0053454"
nm0000897,Ralph Bellamy,"tt0028597,tt0086465,tt0034398,tt0032599"
nm0000898,Kathleen Beller,"tt0084749,tt0077952,tt0071562,tt0081856"
nm0000899,Monica Bellucci,"tt0234215,tt0242653,tt0465602,tt0213847"
nm0000900,Pamela Bellwood,"tt0081856,tt0075359,tt0075648,tt0081485"
nm0000901,Jean-Paul Belmondo,"tt0053472,tt0055082,tt0059592,tt0061452"
nm0000902,Jim Belushi,"tt0095963,tt0072562,tt0097637,tt0117468"
nm0000903,Brian Benben,"tt0099817,tt0110939,tt0098780,tt0167547"
nm0000904,William Bendix,"tt0037017,tt0038369,tt0044863,tt0034798"
nm0000905,Roberto Benigni,"tt0419198,tt0090967,tt0118799,tt0102164"
nm0000906,Annette Bening,"tt0169547,tt0842926,tt0099703,tt4385888"
nm0000907,Richard Benjamin,"tt0073766,tt0118954,tt0070291,tt0070909"
nm0000908,David Bennent,"tt0085289,tt0303457,tt0078875,tt0089469"
nm0000909,Constance Bennett,"tt0023786,tt0024506,tt0029682,tt0030442"
nm0000910,Joan Bennett,"tt0059978,tt0048801,tt0076786,tt0033873"
nm0000911,Nigel Bennett,"tt5580390,tt0103417,tt0284978,tt0115243"
nm0000912,Jack Benny,"tt0033457,tt0035446,tt0042116,tt0034780"
nm0000913,Robby Benson,"tt0076500,tt0108778,tt0101414,tt0040053"
nm0000914,Robert Benton,"tt0079417,tt0087921,tt0078346,tt0061418"
nm0000915,Bruce Beresford,"tt0091081,tt0080310,tt0097239,tt4196848"
nm0000916,Peter Berg,"tt1091191,tt0124198,tt0369339,tt0108724"
nm0000917,Polly Bergen,"tt0055824,tt0058266,tt0048893,tt0099329"
nm0000918,Helmut Berger,"tt0073634,tt0099674,tt0068883,tt0064118"
nm0000919,Senta Berger,"tt0896680,tt0062657,tt0061568,tt0090465"
nm0000920,Patrick Bergin,"tt0102945,tt0105112,tt0102797,tt0102340"
nm0000921,Andrew Bergman,"tt0117765,tt0071230,tt0110167,tt0089155"
nm0000922,Sandahl Bergman,"tt0090009,tt0089893,tt0082198,tt0093171"
nm0000923,Busby Berkeley,"tt0025028,tt0026421,tt0029725,tt0027686"
nm0000924,Elizabeth Berkley,"tt0114436,tt0116313,tt0256524,tt1231277"
nm0000925,Steven Berkoff,"tt0086960,tt1243957,tt0066921,tt0086034"
nm0000926,Milton Berle,"tt0079588,tt0060801,tt0057193,tt0040041"
nm0000927,Irving Berlin,"tt0038370,tt0029852,tt0034862,tt0036430"
nm0000928,Sandra Bernhard,"tt0138967,tt0120901,tt0102070,tt0085794"
nm0000929,Corbin Bernsen,"tt0097815,tt0373469,tt0110442,tt0491738"
nm0000930,Elmer Bernstein,"tt0056592,tt0297884,tt0054047,tt0120891"
nm0000931,Elizabeth Berridge,"tt0106039,tt0317648,tt0086879,tt0082427"
nm0000932,Halle Berry,"tt0246460,tt0327554,tt0348836,tt0285742"
nm0000933,Valerie Bertinelli,"tt0095816,tt0093658,tt0078924,tt0072554"
nm0000934,Bernardo Bertolucci,"tt0065571,tt0070849,tt0093389,tt0117737"
nm0000935,Bibi Besch,"tt0104118,tt0098384,tt0100814,tt0084726"
nm0000936,Martine Beswick,"tt0059800,tt0061429,tt0057076,tt0068502"
nm0000937,Richard Beymer,"tt0056197,tt0098936,tt0055614,tt0226836"
nm0000938,Daniela Bianchi,"tt0060704,tt0062397,tt0062078,tt0057076"
nm0000939,Adrian Biddle,"tt0103594,tt0434409,tt0103074,tt0090605"
nm0000940,Bigas Luna,"tt0104545,tt0090644,tt0078934,tt0129923"
nm0000941,Kathryn Bigelow,"tt1790885,tt0887912,tt0093605,tt0114558"
nm0000942,Theodore Bikel,"tt0058385,tt0051525,tt0050356,tt0043265"
nm0000943,Traci Bingham,"tt0373163,tt0114608,tt3572718,tt0096542"
nm0000944,Antonia Bird,"tt0119092,tt0129332,tt0110889,tt0263181"
nm0000945,Jane Birkin,"tt0901473,tt0060176,tt0077413,tt0083908"
nm0000946,Whit Bissell,"tt0070723,tt0054047,tt0054387,tt0046876"
nm0000947,Karen Black,"tt0251736,tt0071577,tt0073440,tt0065724"
nm0000948,Shane Black,"tt3799694,tt1300854,tt0373469,tt0093773"
nm0000949,Cate Blanchett,"tt2334873,tt0338751,tt0127536,tt2402927"
nm0000950,Brenda Blethyn,"tt0195234,tt0147004,tt0117589,tt0414387"
nm0000951,Joan Blondell,"tt0079672,tt0050307,tt0077631,tt0022676"
nm0000952,Hart Bochner,"tt0095016,tt0088206,tt0106364,tt0078902"
nm0000953,Peter Bogdanovich,"tt0067328,tt0063671,tt0070510,tt0079843"
nm0000954,Jon Bon Jovi,"tt0100994,tt0141926,tt0384286,tt1389096"
nm0000955,Ward Bond,"tt0033870,tt0045061,tt0038650,tt0049730"
nm0000956,Lisa Bonet,"tt0086687,tt0092563,tt0120660,tt0146882"
nm0000957,Jan de Bont,"tt0111257,tt0171363,tt0181689,tt0117998"
nm0000958,John Boorman,"tt0120706,tt0082348,tt0093209,tt0068473"
nm0000959,Powers Boothe,"tt0848228,tt0114576,tt0401792,tt0108358"
nm0000960,Barry Bostwick,"tt1811315,tt0073629,tt0084316,tt0117723"
nm0000961,Timothy Bottoms,"tt0070509,tt0067328,tt0067277,tt0363589"
nm0000962,Carole Bouquet,"tt0398664,tt0075824,tt0082398,tt0281364"
nm0000963,Stephen Boyd,"tt0052618,tt0060801,tt0059219,tt0060397"
nm0000964,Charles Boyer,"tt0029855,tt0028739,tt0033722,tt0036855"
nm0000965,Danny Boyle,"tt0111149,tt0289043,tt1542344,tt1010048"
nm0000966,Lorraine Bracco,"tt0104839,tt0099685,tt0112461,tt0141842"
nm0000967,Eric Braeden,"tt0067065,tt0064177,tt0120338,tt0069658"
nm0000968,Sônia Braga,"tt0089424,tt0095654,tt0077452"
nm0000969,Lillo Brancato,"tt0110971,tt0106489,tt0112740,tt0180052"
nm0000970,Jonathan Brandis,"tt0099864,tt0106126,tt0104670,tt0100240"
nm0000971,Nicoletta Braschi,"tt0102164,tt0118799,tt6752992,tt0090967"
nm0000972,Tinto Brass,"tt0057942,tt0065161,tt0080491,tt0061493"
nm0000973,Benjamin Bratt,"tt0098844,tt2380307,tt0212346,tt0181865"
nm0000974,Walter Brennan,"tt0040724,tt0037382,tt0033253,tt0053221"
nm0000975,Robert Bresson,"tt0061996,tt0049902,tt0060138,tt0042619"
nm0000976,Martin Brest,"tt0119643,tt0105323,tt0095631,tt0086960"
nm0000977,Beau Bridges,"tt0413895,tt0097322,tt0467197,tt1033575"
nm0000978,Lloyd Bridges,"tt0083530,tt0102059,tt0107144,tt0080339"
nm0000979,Wilford Brimley,"tt0119360,tt0088933,tt0087781,tt0084787"
nm0000980,Jim Broadbent,"tt0203009,tt0217505,tt1007029,tt1431181"
nm0000981,James Brolin,"tt0181865,tt0070909,tt0077294,tt0078767"
nm0000982,Josh Brolin,"tt1791528,tt4154796,tt4154756,tt0477348"
nm0000983,Albert Brooks,"tt0089504,tt0092699,tt0780504,tt0101698"
nm0000984,Avery Brooks,"tt0120586,tt0106145,tt0120609,tt0179626"
nm0000985,James L. Brooks,"tt0065314,tt0086425,tt0119822,tt0092699"
nm0000986,Bryan Brown,"tt0094889,tt0080310,tt0145547,tt2404233"
nm0000987,Jim Brown,"tt0093894,tt0116996,tt0146838,tt0061578"
nm0000988,Jerry Bruckheimer,"tt0210945,tt0383574,tt0449088,tt0120591"
nm0000989,Yul Brynner,"tt0054047,tt0049833,tt0049408,tt0070909"
nm0000990,Betty Buckley,"tt0095174,tt0074285,tt0949731,tt4972582"
nm0000991,Geneviève Bujold,"tt0079592,tt0064030,tt0077355,tt0094964"
nm0000992,Billie Burke,"tt0030442,tt0032138,tt0029682,tt0023948"
nm0000993,Carol Burnett,"tt0061240,tt0083564,tt0105017,tt0451079"
nm0000994,Raymond Burr,"tt0061266,tt0047396,tt0197521,tt0087344"
nm0000995,Ellen Burstyn,"tt0070047,tt0071115,tt11161474,tt0180093"
nm0000996,LeVar Burton,"tt0120844,tt0111280,tt0117731,tt0253754"
nm0000997,Gary Busey,"tt0077280,tt0093409,tt0102685,tt0105690"
nm0000998,Jake Busey,"tt4574334,tt0116365,tt7555294,tt0120201"
nm0000999,Red Buttons,"tt0069113,tt0056197,tt0050933,tt0076538"
nm0001000,Tom Byron,"tt0097039,tt2059288,tt0151056,tt0178845"
nm0001001,James Caan,"tt0083190,tt0068646,tt0073631,tt0100157"
nm0001002,Dean Cain,"tt0250687,tt2528814,tt0106057,tt0313443"
nm0001003,Simon Callow,"tt0293508,tt0109831,tt0138097,tt0091867"
nm0001004,Billy Campbell,"tt0278435,tt0103874,tt5583512,tt0102803"
nm0001005,Jane Campion,"tt0810784,tt10293406,tt0107822,tt2103085"
nm0001006,John Candy,"tt0080455,tt0094012,tt0098554,tt0093748"
nm0001007,Dyan Cannon,"tt0077663,tt0064100,tt0070291,tt0083806"
nm0001008,Frank Capra,"tt0031679,tt0025316,tt0030993,tt0038650"
nm0001009,Kate Capshaw,"tt0096933,tt0087469,tt0113501,tt0087175"
nm0001010,Capucine,"tt0084814,tt0057413,tt0054324,tt0085384"
nm0001011,Irene Cara,"tt0075249,tt0084688,tt0080716,tt0085549"
nm0001012,Claudia Cardinale,"tt0064116,tt0057413,tt0083946,tt0056801"
nm0001013,Harry Carey Jr.,"tt0087363,tt0108358,tt0049730,tt0099528"
nm0001014,Mariah Carey,"tt0929632,tt0118589,tt0120596,tt4116284"
nm0001015,Robert Carlyle,"tt0129332,tt0143145,tt0117951,tt0119164"
nm0001016,David Carradine,"tt0378194,tt0074235,tt0072856,tt0490086"
nm0001017,John Carradine,"tt0082533,tt0032551,tt0049833,tt0031971"
nm0001018,Keith Carradine,"tt0409847,tt0348914,tt0073440,tt0773262"
nm0001019,Robert Carradine,"tt0228333,tt0116225,tt0088000,tt0306841"
nm0001020,Katrin Cartlidge,"tt0120681,tt0118818,tt0107653,tt0115751"
nm0001021,Veronica Cartwright,"tt0078748,tt0077745,tt0056869,tt0094332"
nm0001022,Dana Carvey,"tt0108525,tt0072562,tt0295427,tt0105793"
nm0001023,John Cassavetes,"tt0061578,tt0079672,tt0087644,tt0063522"
nm0001024,Nick Cassavetes,"tt1078588,tt0092240,tt0138304,tt0119094"
nm0001025,Seymour Cassel,"tt0128445,tt0104503,tt0099422,tt0362270"
nm0001026,Joanna Cassidy,"tt0098051,tt0096438,tt0083658,tt0248654"
nm0001027,Shaun Cassidy,"tt0111880,tt0075513,tt0233491,tt0460651"
nm0001028,Maxwell Caulfield,"tt0112950,tt0119987,tt0088496,tt0084021"
nm0001029,Jim Caviezel,"tt0186151,tt0364343,tt0120863,tt0335345"
nm0001030,John Cazale,"tt0068646,tt0071360,tt0071562,tt0072890"
nm0001031,Claude Chabrol,"tt0232083,tt0112769,tt0096336,tt0051404"
nm0001032,Marilyn Chambers,"tt0076590,tt1328912,tt0085167,tt0087475"
nm0001033,Lon Chaney Jr.,"tt0044706,tt0035899,tt0034398,tt0040068"
nm0001034,Rosalind Chao,"tt0322330,tt0120889,tt0425123,tt4566758"
nm0001035,Ben Chaplin,"tt0188453,tt0120863,tt0264935,tt0117979"
nm0001036,Geraldine Chaplin,"tt0059113,tt0073440,tt0287467,tt0464141"
nm0001037,Graham Chapman,"tt0085959,tt0071853,tt0063929,tt0079470"
nm0001038,Josh Charles,"tt0257076,tt0430105,tt0097165,tt0165961"
nm0001039,David Charvet,"tt0112464,tt0496375,tt0096542,tt0103491"
nm0001040,Joan Chen,"tt0110725,tt0113492,tt0452631,tt0093389"
nm0001041,Maggie Cheung,"tt0101258,tt0299977,tt0118694,tt0117905"
nm0001042,Lois Chiles,"tt0092699,tt0079574,tt0120179,tt0077413"
nm0001043,Anna Chlumsky,"tt0113188,tt1759761,tt0102492,tt0110613"
nm0001044,Rae Dawn Chong,"tt0088944,tt0082484,tt1588334,tt0088939"
nm0001045,Tommy Chong,"tt0078446,tt2948356,tt0080520,tt0082163"
nm0001046,Julie Christie,"tt0060390,tt0059113,tt0491747,tt0069995"
nm0001047,Michael Cimino,"tt0067756,tt0090350,tt0077416,tt0080855"
nm0001048,Andrew Dice Clay,"tt2334873,tt1674771,tt1517451,tt0098987"
nm0001049,Jill Clayburgh,"tt0439289,tt0078444,tt1478338,tt0079948"
nm0001050,Montgomery Clift,"tt0045793,tt0043924,tt0040765,tt0040724"
nm0001051,Bill Clinton,"tt7466880,tt0108515,tt12660626,tt7689964"
nm0001052,Kurt Cobain,"tt3480822,tt0203009,tt1877830,tt4154664"
nm0001053,Ethan Coen,"tt0116282,tt6412452,tt2042568,tt1019452"
nm0001054,Joel Coen,"tt2042568,tt6412452,tt0101410,tt0086979"
nm0001055,Claudette Colbert,"tt0025316,tt0037280,tt0036367,tt0029929"
nm0001056,Dabney Coleman,"tt0128853,tt0080319,tt0082846,tt0086567"
nm0001057,Toni Collette,"tt7784604,tt0167404,tt0276751,tt0449059"
nm0001058,Joan Collins,"tt0158622,tt0075989,tt0081856,tt0048283"
nm0001059,Robbie Coltrane,"tt0120681,tt0105977,tt0241527,tt0295297"
nm0001060,Chris Columbus,"tt1454029,tt0295297,tt0241527,tt0294870"
nm0001061,Holly Marie Combs,"tt0103512,tt0096969,tt0104139,tt0158552"
nm0001062,Jeffrey Combs,"tt0116365,tt0089885,tt0091083,tt1999995"
nm0001063,Jeff Conaway,"tt0077089,tt0105946,tt0155776,tt0077631"
nm0001064,Jason Connery,"tt3467914,tt1937506,tt0184894"
nm0001065,Harry Connick Jr.,"tt0129167,tt0112722,tt0431308,tt0119313"
nm0001066,Robert Conrad,"tt0076993,tt0080132,tt0073961,tt0116705"
nm0001067,Jackie Coogan,"tt0012349,tt0013450,tt0014733,tt0021483"
nm0001068,Sofia Coppola,"tt0335266,tt5592248,tt0099674,tt0159097"
nm0001069,Bud Cort,"tt0067185,tt0066026,tt0200550,tt0362270"
